iter	Passed	Remaining
463	754	871
464	756	870
465	757	868
466	759	866
467	760	864
468	761	861
469	762	859
470	763	857
471	764	855
472	766	853
473	767	851
474	767	848
475	768	846
476	769	844
477	772	843
478	773	840
479	774	838
480	775	836
481	776	834
482	777	831
483	778	829
484	779	827
485	780	825
486	781	822
487	782	820
488	783	818
489	784	816
490	785	814
491	787	812
492	788	810
493	789	808
494	790	806
495	791	804
496	792	801
497	793	799
498	794	797
499	795	795
500	796	792
501	797	790
502	798	788
503	799	786
504	800	784
505	802	783
506	803	781
507	804	778
508	805	776
509	806	774
510	807	772
511	808	770
512	809	768
513	810	766
514	811	764
515	812	761
516	813	759
517	814	757
518	815	756
519	817	754
520	818	752
521	819	750
522	819	747
523	820	745
524	821	743
525	822	741
526	823	739
527	824	737
528	825	735
529	826	733
530	827	731
531	828	729
532	830	727
533	832	726
534	833	724
535	834	722
536	835	720
537	836	717
538	837	715
539	838	713
540	839	711
541	840	709
542	841	707
543	842	705
544	843	703
545	845	702
546	847	701
547	848	699
548	849	697
549	850	695
550	851	694
551	853	692
552	854	690
553	855	688
554	856	687
555	858	685
556	862	686
557	864	684
558	866	683
559	868	682
560	869	680
561	871	679
562	872	677
563	873	675
564	875	673
565	877	672
566	878	670
567	879	668
568	880	667
569	881	665
570	883	663
571	884	661
572	885	660
573	887	658
574	889	657
575	892	656
576	893	655
577	895	653
578	897	652
579	899	651
580	900	649
581	902	648
582	903	646
583	905	644
584	907	643
585	908	641
586	910	640
587	911	638
588	913	637
589	914	635
590	915	633
591	917	632
592	918	630
593	920	628
594	921	627
595	923	625
596	924	624
597	925	622
598	926	620
599	928	618
600	929	617
601	930	615
602	932	613
603	933	611
604	934	610
605	937	609
606	938	607
607	939	605
608	940	603
609	941	601
610	942	600
611	944	598
612	945	597
613	946	595
614	948	593
615	949	591
616	951	590
617	952	589
618	954	587
619	955	585
620	956	583
621	957	581
622	958	580
623	959	578
624	961	576
625	962	574
626	963	573
627	968	573
628	970	572
629	971	570
630	973	569
631	975	567
632	976	566
633	978	564
634	979	562
635	982	562
636	983	560
637	985	559
638	986	557
639	989	556
640	991	555
641	993	554
642	998	554
643	1000	552
644	1001	551
645	1003	550
646	1005	548
647	1007	547
648	1008	545
649	1010	543
650	1014	543
651	1015	542
652	1017	540
653	1019	539
654	1021	537
655	1022	536
656	1024	534
657	1027	534
658	1029	532
659	1031	531
660	1033	529
661	1034	528
662	1036	526
663	1037	525
664	1039	523
665	1042	523
666	1044	521
667	1046	520
668	1047	518
669	1049	516
670	1050	515
671	1052	513
672	1059	514
673	1062	513
674	1063	512
